Year,VHS/UMD,DVD,BD/Hi-Def,Digital,TOTAL
1985, 1, 0.0, 0.0, 0.0, 1
1986, 1, 0.0, 0.0, 0.0, 1
1987, 1, 0.0, 0.0, 0.0, 1
1988, 1, 0.0, 0.0, 0.0, 1
1989, 1, 0.0, 0.0, 0.0, 1
1990, 1, 0.0, 0.0, 0.0, 1
1991, 1, 0.0, 0.0, 0.0, 1
1992, 1, 0.0, 0.0, 0.0, 1
1993, 1, 0.0, 0.0, 0.0, 1
1994, 1, 0.0, 0.0, 0.0, 1
1995, 1, 0.0, 0.0, 0.0, 1
1996, 1, 0.0, 0.0, 0.0, 1
1997, 1, 0.0, 0.0, 0.0, 1
1998, 1, 0.0, 0.0, 0.0, 1
1999, 12.2, 1.1, 0.0, 0.6, 13.9
2000, 11.4, 2.4, 0.0, 0.7, 14.5
2001, 10.9, 5.3, 0.0, 0.7, 16.9
2002, 9.6, 8.6, 0.0, 0.7, 19.0
2003, 6.9, 13.1, 0.0, 0.7, 20.7
2004, 4.4, 16.7, 0.0, 0.7, 21.8
2005, 2.1, 18.9, 0.0, 0.8, 21.7
2006, 0.4, 20.2, 0.0, 1.0, 21.6
2007, 0.1, 19.7, 0.3, 1.3, 21.4
2008, 0.1, 18.4, 0.9, 1.6, 21.0
2009, 0.0, 15.8, 1.5, 2.1, 19.4
2010, 0.0, 13.88, 2.3, 2.25, 18.43
2011, 0.0, 12.46, 1.6, 3.9, 17.96
2012, 0.0, 11.68, 1.2, 5.2, 18.08
2013, 0.0, 10.67, 0.96, 6.5, 18.13
2014, 0.0, 9.55, 0.7, 7.65, 17.9
2015, 0.0, 8.46, 0.61, 8.96, 18.03
2016, 0.0, 7.55, 0.49, 11.43, 19.47