No.,State,Well-being Index,Purpose Rank,Social Rank,Financial Rank,Community Rank,Physical Rank,State Codes,Latitude,Longitude
2,Alaska,64,5,1,2,6,15,AK,63.588753,-154.493062
23,Washington,62.5,37,23,9,25,23,WA,47.751074,-120.740139
16,North Dakota,62.8,16,37,4,7,34,ND,47.551493,-101.002012
8,Montana,63.2,10,28,13,3,33,MT,46.879682,-110.362566
9,Minnesota,63.2,24,44,6,9,11,MN,46.729553,-94.6859
4,Maine,63.6,23,18,10,11,4,ME,45.253783,-69.445469
6,Vermont,63.5,30,5,39,8,2,VT,44.558803,-72.577841
39,Michigan,61.4,42,35,35,34,37,MI,44.314844,-85.602364
18,Idaho,62.7,17,25,44,4,38,ID,44.068202,-114.742041
3,South Dakota,63.7,8,29,3,2,16,SD,43.969515,-99.901813
24,Oregon,62.5,41,11,18,18,19,OR,43.804133,-120.554201
28,Wisconsin,62.3,39,39,7,15,31,WI,43.78444,-88.787868
33,New York,61.8,46,22,29,43,14,NY,43.299428,-74.217933
22,New Hampshire,62.6,38,17,26,16,21,NH,43.193852,-71.572395
12,Wyoming,63,15,33,15,5,32,WY,43.075968,-107.290284
14,Massachusetts,63,40,10,11,23,5,MA,42.407211,-71.382437
19,Iowa,62.6,22,42,5,12,35,IA,41.878003,-93.097702
5,Colorado,63.5,18,21,19,14,3,CO,41.603221,-73.087749
42,Rhode Island,61.3,49,50,43,50,18,RI,41.580095,-71.477429
15,Nebraska,62.9,7,32,8,10,30,NE,41.492537,-99.901813
30,Pennsylvania,62.1,27,13,12,32,29,PA,41.203322,-77.194525
37,Illinois,61.6,36,26,28,46,24,IL,40.633125,-89.398528
47,Indiana,60.5,47,49,30,38,44,IN,40.551217,-85.602364
45,Ohio,60.9,43,40,31,39,42,OH,40.417287,-82.907123
25,New Jersey,62.5,29,4,21,40,7,NJ,40.058324,-74.405661
17,Utah,62.8,19,27,22,13,27,UT,39.32098,-111.093731
31,Maryland,62,33,20,16,44,12,MD,39.045755,-76.641271
32,Kansas,61.8,20,38,17,26,40,KS,39.011902,-98.484246
35,Connecticut,61.7,45,19,37,48,13,CT,38.910832,-75.52767
40,Delaware,61.4,48,15,24,45,22,DE,38.905985,-77.033418
34,Nevada,61.8,34,34,33,47,26,NV,38.80261,-116.419389
50,West Virginia,58.9,50,45,50,49,50,WV,38.597626,-80.454903
36,Missouri,61.7,31,31,25,30,36,MO,37.964253,-91.831833
49,Kentucky,60.5,44,41,40,29,49,KY,37.839333,-84.270018
21,Virginia,62.6,21,12,14,27,20,VA,37.431573,-78.656894
13,California,63,13,14,20,35,6,CA,36.778261,-119.417932
26,North Carolina,62.4,14,9,41,22,28,NC,35.759573,-79.0193
38,Tennessee,61.5,26,36,36,21,43,TN,35.517491,-86.580447
46,Arkansas,60.8,32,47,45,31,47,AR,35.20105,-91.831833
48,Oklahoma,60.5,35,48,46,33,48,OK,35.007752,-97.092877
20,New Mexico,62.6,9,24,27,41,9,NM,34.97273,-105.032363
7,Arizona,63.4,2,3,23,19,10,AZ,34.048928,-111.093731
27,South Carolina,62.3,4,6,38,17,39,SC,33.836081,-81.163725
41,Mississippi,61.3,3,16,49,37,45,MS,32.354668,-89.398528
44,Alabama,61,28,43,47,28,46,AL,32.318231,-86.902298
29,Georgia,62.3,11,7,42,36,25,GA,32.157435,-82.907123
10,Texas,63.1,1,8,32,20,17,TX,31.968599,-99.901813
43,Louisiana,61,25,30,48,42,41,LA,31.244823,-92.145024
11,Florida,63.1,6,2,34,24,8,FL,27.664827,-81.515754
1,Hawaii,65.2,12,46,1,1,1,HI,19.898682,-155.665857